target;sen
Negative;@merkantalist1 : boþuna çomar demiyorlar .
Negative;@huysuzfiravun : babam anam farklý düþünmüyor . evet o gerçekleri diye bahsettiklerini bize dayatanlar çomar evet .
Negative;@hitlergaz : çiftlik bank kurucusu mehmet aydýn'a af çýkmýþ . en çok bu habere sevindim . devam et tosuncuk . sýrada dolandýrýlmayý hak eden milyonlarca çomar var . yürüyegörsene .
Neutral;@ruveydaðurbuz : çomar olmayý onlar seçmedi jssjsj .
Positive;@yokümbelkide : ne var yalarým dediysem çomar misin .
Neutral;@kumandan_baþ : senden büyük ihanet mi çomar oðlu çomar .
Negative;@taþýyamýyan : polisin eðlenmeye hakký yok mu çomar .
Negative;@boþlukprens : yetiþkin çomar müritler .
Negative;@hakký_gltkn : izlediðini de anlamayan çomar kardeþ , ne diyor ustalar garanti kapsamýnda deðil parçalar ve artýk biz kendimiz tamir ediyoruz var mý baþka bir sorun ? .
Negative;@mülayimters23 : çomar çakýcýyý savunan dangalak ordusu .
Negative;@kuþterbiyecisii : senin gibi bir çomar çocuk yapmasýn zaten teþekkürler .
Negative;@whydileey : arkadaþlar bu kýz ergen ve eðitilemez bir çomar þu ettiði hakaretlerle emniyette bir þey yapabileceðini sanýyor .
Negative;@cemgöztepeli1 : hafta içi satýþ rakamlarýna bak çomar ! haftasonu çýkma yasaðý olmasa yine çýkar sözcü gazetemizi alýrdýk .
Positive;@necatielmass : böyle çomar olmaya devam ederse bazý insanlar sefere çýkýp analarýna dedelerine öksüreceðim .
Negative;@serseeriniz : çomar üst komþum ne geceleri uyuyor ben ders çalýþayým ne gündüzleri uyuyor ben uyuyayým bir iki ramak kaldý ciddi ciddi kavga çýkacak .
Negative;@thebeyz9 : laik çomar izmir'e solculuk ve atatürkçülük atfedilmesi iyi bir pr çalýþmasý . ýlýmlý ve antipatik muhalif yaratma çabalarý .
Positive;@coronius3 : vay çomar vay .
Negative;@coronacovd192 : çomar kardeþ sýkýntýn ne çomar kardeþ .
Negative;@napsakgari : bunlar böyle hocam . özellikle bu 1950-1980 doðumlu solcu kesim bu ülkeye en büyük ihanetleri yapan kesimdir . bunlarýn zihniyeti iktidar olsa 2 güne kalmaz baþörtülüleri devletten atýp bir de eðitim haklarýný da ellerinden alýrlar . böyle iðrenç , böyle çomar bir zihniyet .
Negative;@_witcher__ : konu altýna ne kadar it çomar varsa toplanmýþ .
Negative;@rmelskaa_1 : soylunun hala arkasýndayým . siz pkklý olarak ilan edildiniz diye alýndýysanýz biz ne yapalým ? biz de akli çomar trol ilan edildik . vatan saðolsun .
Negative;@kumulatifyusuf : yorum yapmayý bilmeyen her tweetinde hakaret unsurlarý bulunan sen deðilsin o çomar alýndý üzerine sen boþver bir saattir birlikte olmayý anlattýðýn adamýn profiline girip attýðý tweetleri bak küfürsüz hakaretsiz 1 tane tweeti olmayan maðara adamý .
Positive;@wakeupfefe : doðru konularý bulduðumuzda ailelerimizin aslýnda ne kadar çomar olduðunu görebiliriz .
Positive;@melihtaþçý7 : çomar her yerde çomar .
Negative;@külhakki8 : içimizdeki cevherleri fark etmek ne güzel chp olarak inkarcý þaklabanlýðý býrakýn da bu memlekete hizmet etmeyi öðrenin yoksa çomar zihniyetiniz ile anca 2 otobüs tamir edersiniz . prototip kolide kalýr . yalanlarýnýzda boðulursunuz . zekanýzý kullanýn içine onur atýn biraz .
Negative;@rebeccabodrumda : tecavüzü iliþki zannediyor cahil çomar .
Negative;@jarýraðnar : sadece izmir olsaydý çomar dayý taklidi yapardým da ýstanbulaymýþ .
Positive;@karacanyaðýz : ülkede güzel olan ne varsa içine edin sizde kurtulun bizde beton zihniyetin çomar sürüsü .
Negative;"@serkan_danýþ : biri "" kanal "" ve "" istanbul "" kelimelerini yan yana yazýnca çomar modu açýlýyor bunlarýn :) ."
Negative;@sönmohikan777 : sol çomar kitlesi daha tehlikeli .
Negative;@conqueror_1453 : asýl çomar ve yobazlar laiktir .
Neutral;@çapkanasya : ne olmuþ yoga yapýyorsa çomar .
Negative;@türkatýnýnkalbi : çomar dikkat çekmek için sen saçmalama istersen salak seni .
Negative;@baykülhanbeyi : tek sýkýntý kendi zekanýzla kýyas yapýyor olmanýz . herkesi kendiniz gibi çomar sanýyor her yalaný yutacak sanýyorsunuz ? .
Negative;@ahmetoðlakçý : ellileþ yaþ üstü okumaz-yazmaz herþeye ilgisiz dindar nüfusu adam edebilirsek bu akp çöplüðünden kurtuluruz ancak . gerisi partinin yemlediði üç beþ çomar . ciddiye almaya deðmez .
Neutral;@ahmtshnr : yine bir kaç tane solcu çomar yüzünden gaza geldi millet bu çomarlýðýn sol saðýndan daha tehlikeli .
Negative;@schüle07 : bmw + altýn görünümlü saat + paralar hahahaahjsjss gerçekten çok düþtük þu an , keko mudiyim çomar mi .
Neutral;@darthvaderpanda : deyi ayýrsan inanýrlardý , böyle çomar anlatýyormuþ gibi oldu .
Negative;@acarmeh43774489 : emoji yok bu sefer . çomar deðilim tweet bu .
Negative;@izzet60794769 : troller bakalým buna ne yazacak ? yazmýþ iþte ... . çomar .
Negative;@acarmeh43774489 : aa sen de cümlenin sonunda emoji göndermiþsin . çomar sitemi mi bu .
Negative;@tutaçur : allah belanýzý versin kültürsüz eðitimsiz çomar köpekler .
Negative;@pnaars7 : caným sýkýlýyor dýþ atmam lazým gelin çomar topluluðu hadi .
Negative;@srknseven : çomar geldin , çomar gideceksin faydasýz .
Negative;@mehmetçümhur5 : en tehlikelisi , okumuþ çomar . he diyip yolla boþver .
Negative;@t2erhan : allah akýl fikir sana çomar depremi bile imamoðluna baðlýyorsun ya cahil bsy denmez senin gibilere .
Positive;@zeynepsaklýý : sol kesimde de çok çomar var sað kesimde de al birini vur ötekine .
Negative;@wildsm3 : lan göçmen yýlmaz özdil sen siyaset yapma ülkemde .
Neutral;@gregemen : göçmen olma ihtimalin var mý ? .
Negative;@egemen_topall : kendimi kaçak göçmen gibi hissediyorum dýþarýda jandarmalardan kaçýyoruz .
Negative;@kum_fu : yarýsý göçmen sanki .
Negative;@alprnokur : göçmen atalarýn torunlarýyýz lan biz evde duramýyorum ben .
Negative;@vataným14531923 : defol git geldiðin yere göçmen .
Positive;@selimkaplanoðlu : her þeyleri kaçak kaçak seviyorlar .
Negative;@ferdanedoan2 : hayatlarý bile kaçak yazýklar olsun zehir zýkkým olsun .
Negative;"@goncacet : doðru yapmýþ amasý þu ki ; çekecekleri var ? ? sen kimsin yahu koskoca “ kaçak ” ."
Negative;@mahirdoandemr : yaþasýn kaçak berberler bugün de traþ olduk mis .
Neutral;@nazlý_minazlý : ben köylü kurnazý diyorum .
Negative;@banamidemiþ : köylü olduðum için yanýnda peynirle yiyorum
Negative;@pýnargallagher : köylü olmadýðým için facebook kullanmadým hiç .
Positive;@neontempura : meyve sebzeyle þaka yapmak ... köylü zevklenmeleri .
Negative;@mücevherpaþa : köylü kakülü diye bir þey var tam olarak tarif edemem ama var böyle bir þey .
Negative;@hedaþofnight : fazla lüks köylü kalbi kaldýrmaz .
Negative;@ayseaðca01 : sendeki prenses bünyenin içinde olan köylü kýzýný kimse göremez bebeðim üzülme sen .
Positive;@mertsibel8 : harika bir köylü güzeli .
Negative;@yaar65951582 : cahil köylü ya neymar sinemada mý izliyor ? Netflix'de sýralama var onu diyorlar .
Neutral;@megamýþwine : mavi tik mi ... köylü müsün kýzým approved count symbol diyeceksin .
Negative;@umutçalskan1903 : hayat herkesin ben peronun þarkýlarýný ezbere söylemesi ve sagopa gibi güzide ve deðerli bir rapçinin þarkýsý gelince ufo görmüþ masum köylü gibi bakmasý kadar garip .
Negative;@ðrkemavar3 : karýsý köylü .
Negative;@ezgibelevi : irem , melike falan köylü yazdýklarým deðil .
Negative;@ezgibelevi : her þeye ihtiyaç var hayatta , krem benim muhatabým olamaz . teyzem ünlü olmuþ hadi gidelim , ben gördürdüm onu . sena , seda , elif ... . . bunlar köylü .
Negative;@yaar65951582 : yallah arabistana köylü .
Negative;@cerensemizz : balkonu odaya katmak , teras kapatmak ... bunlar ne kadar köylü hareketler ya .
Negative;@tehiike : daha köylü bir tweet görmedim .
Negative;@darkookmýn_ : masum köylü küfür etti .
Negative;@efekiriþman : tweeti avlayan köylü kardeþlerimle un helvasý partisi yapmak isterim .
Positive;@berkaysuvarý : köylü gibi hissediyorum þu an .
Negative;@nigrummagnum : ya kadýn köylü müsün sen ya bu sunny side up yapýlacak yani . yoksa asla kahvaltý yapmam .
Positive;@zz_atak : yeterince köylü makarasý yaptým þimdi izin verirseniz kendim olma zamaný yani rich kid .
Negative;@peykano : kýz çocuklarýnýn dini nikahla evlendirilmesinde sorun görmeyen köylü zihniyetli , þehirlileþememiþ müslümanlardýr .
Neutral;@hicabihan : Tanýn yazýmý doðru mu köylü barbar ? .
Negative;@sforza1912 : köy yumurtasý almýþýz sanysaydap olmadý . sahandayým ben diye baðýrýyor köylü piç .
Neutral;@okebroer : abi köylü gibi düþün .
Negative;@mhöztürk1971 : kapýda ptt kargoyu gören masum köylü .
Neutral;@boramoruk : bence android telefondan yazdý köylü duygu .
Neutral;@doðukanmiracylm : hahhah köylü .
Negative;@albay_postasý : biliyorum herkes beni gibi köylü deðil ama þurada dursun belki okuyan olur .
Negative;@hayrülbeer3 : iki gündür yaþananlara ozanýn cevabý : köylü bile öküz alsa iþine diþine bakýyor .
Negative;@özzykaanyldz : ufo gören masum köylü koçum benim .
Neutral;@çaðlayanayhann : tüm sülale kürt olmasýna raðmen aile içinde lakabý kürt olan adam mýsýn be .
Negative;@küçükmoskovadan : alavere dalavere kürt mehmet nöbete .
Negative;@yasee38 : kürt kýzlarý ile sevgili olmayýn . sevgili oluyorsunuz akrabalarý dövüyor ayrýlýyorsunuz yine dövüyorlar .
Negative;@meltemcnsvr : ulan gerizekalý kurt zengin olunca niye zoruna gidiyor .
Neutral;@useyin : yeterince kürt deðilsiniz demek ki .
Neutral;@meelique : numaralý gözlük takan kürt yok .
Negative;@osmankaktüs : daha iyi bir fotoðraf seçilemezdi sarý kýsa saçlý chpyi abla ve kýllý kurt .
Positive;@fatmadmrbs2 : kalbin bir kürt evi kadar kalabalýk diyeceklerim bu kadar .
Positive;@fouwakeup : kürt arkadaþým burnunun doðuþtan güzel olmasýný amcasýna borçlu olduðunu söyledi .
Negative;@cengizhan_84 : namazda gözü olmayanýn ezanda kulaðý olmaz derler ama bizdeki kemalist / laikçi kesimin aklý fikri namazýmýzda , orucumuzda , kurbanýmýzda . size ne lan , size ne . siz kendi iþinize bakýn .
Negative;"@baynikilsin : hala tam anlamýyla at koþturamýyorlarsa her þeyi kafalarýna göre yýkýp yok edemiyorlarsa bu özgürlükçü dediðiniz liboþlar yada solculuk kisvesi altýnda etnik milliyetçilik yapanlar sayesinde deðil ; burun kývýrdýðýnýz laikçi teyzeler ve öcü sandýðýnýz kemalistler sayesinde ."
Negative;@kadir38633528 : yaw hele öylesinizdir idlip düþmek üzere rejim rusya iran sizi yok etmek üzere hala türkiyeye laikçi deyin siz býrakýn bu mavallarý sizin derdiniz din deðil kendi nefis ve Deva'larýnýzdýr türkiye olmasa idlip tamamen esed rejimindeydi halebi kaybettiniz ( hts ) hala akýllanmadýnýz .
Negative;@k_reçelii : ben hiç bir laikçinin gidip de laikçi olduðu için iþ bulamadýðýný görmedim fakat ben tesettürlüyüm diye iþ bulamýyorum :) .
Negative;@cengizk87844731 : gerizekalý sen niye öðretmen olmuyorsun dini diyaneti olmayan , laikçi , kemalistler öðretmen oluyor gençleri kendi dünya görüþüne göre yetiþtiriyor . gerçi az cahil deðilsin akýllý olsan soruyu kendisine sorardým .
Negative;@lipsöz0664 : günaydýn laikçi .
Negative;@garip679 : yazýsýnýn altýnda laik cumhuriyetçi gazete yazýyor bunlar nasýl muhalif ? . laikliðin gelmesinden evvel laikçi kesilmiþler .
Negative;@harun1907_25 : k . bakma bazý laikçi deðiliz sizin medeniyetiniz sokakta köpek gezdirip heykel inþa etmek olabilir ama bizim sað görüþmüþ de çok farklý siz bu avrupai kafasýyla yaþadýðýnýz müddetçe daha çok yenilgi yüzü görürsünüz .
Negative;@usta_d1 : aþýrý laikçi-kamâlist , azýlý islam düþmanýydý .
Negative;@mhmt_altn27 : hem demokrat hem milliyetçi hem islamcý hem laikçi helal sana sayýn soylu bu kadarýný ayný arada görmek zor .
Negative;@legendbytheway : bu milliyetçi tayfa laikçi olacak ayný zamanda ve þeriat isteyen müslümanlarý ayýrt etmeden milli güvenlik sorunu görecek . bunu da görüyor muyuz ? .
Negative;@murathrkt : 28 þubatta mgv dergisi aldýk diye laikçi zihniyet bizi hallaç pamuðu gibi attý . gelen müfettiþler sorup duruyordu bunlar .
Negative;@mustafa30802081 : fatih kardeþ , laikçi zorbalarýn ve küfür yobazlarýnýn canýný iyi yakmýþsýn . durmak yok yola devam .
Negative;@ey_ezeli_nur : kes ulan . laikçi kamâlist putperestler size . pis yobazlar .
Negative;@bykanarya08 : süleyman soylu bu memleketin gelmiþ geçmiþ en iyi içiþleri bakanýdýr hayýrdýr olum bu sözlerim terörist laikçi kemalist .
Negative;@serkanyakupolu2 : aydýn laikçi özgürlükçü sosyalist demokrat asla .
Negative;@vakvak35 : laikçi zihniyet ne demek kültürsüz cahil yobaz . aç vatandaþý olduðun ülkenin anayasasýnýn ilk 3 maddesini oku . kanser hücresi gibisiniz amip gibisiniz . gittiðiniz her yeri girdiðiniz her ortamý yok ediyorsunuz .
Negative;@l0veglu3günnin6 : arena da heykelci laikçi olmuþ .
Positive;@47babahalil : hemen baþka yerlere çek laikçi sana .
Negative;@alperenbi35 : alayý laikçi chp zihniyeti yahudi kolasý almalarýndan belli .
Negative;@osmangrsy : laikçi teyze bu .
Negative;"@ekoviktor : "" laikçi "" olmuþtur . adem en fazla makarnacý ."
Neutral;@bekotheuþmle : laikçi kýzlara da selam ? .
Negative;@abinizsavaþçý : yabancýlar bizim herþeye muhalefet laikçi yobazlara anlatsýn . biz anlattýk anlamýyorlar ? .
Negative;@ayyýldýzmanga : lanet olsun bu ülkenin bu milletin inancýna düþman laikçi kamâlist zorbalara .
Negative;@shylgultekin : üzerinden yýllarca maðdur edebiyatý yaptýklarý laikçi yönetimler zamanýnda bile olmadý böyle bir þey . ibretlik .
Negative;@taknseran : laikçi olunca ülke otomatik iyi yönetilseydi þu an uzaydaydýk . Alp'lileri partizanlýkla suçlarken aynýsýný bizim yapmamamýz gerekir .
Positive;@selo38757969 : laikçi dedeyle dalga geçmeye devam edersek gerçekten 155i arayacak ? .
Positive;@tayfuneser_ : bir akýllý sizsiniz zaten laikçi salak seni .
Negative;@kafes46755199 : iyi laikçi büküyorsun bak yorumlara kuduruyorlar kuduz gibi .
Negative;@eminegülsntrk : bana bakýp mülteci kaçkýný gibisin diyen olmuþtu .
Negative;@o1obsesif : eve sevmediðim bir akraba gelince kendi evimde mülteci oluyorum ya .
Positive;@özkanatakan : eve aldýðýmýz yiyeceklere mülteci muamelesi yapýyoruz . bir süre kapýda bekletiyoruz .
Negative;@emreenesakyap : asalak soysuz itlerin affý olmaz ! .
Negative;@kemaltr13 : þerefsiz surun burada aç herif dünya markasýymýþ hadi oradan tek kademeli soysuz .
Negative;@ecekiçoðlu : laðým faresi , tapýnakçýlarýn soysuz çocuklarý kemalimler bana cevap yazar þimdi .
Negative;@feyzaertaþ_ : bir soysuz için intihar giriþimde bulunup sokaða dökülenlerin , çocuk istismarýna tepki verecek kadar soylu olmalarýný beklemek .
Negative;@kýzilelma_63 : toplayacaksýn afrika kabilesi gibi etraflarýnda bolca odun ateþe vereceksin alayý beþ para etmez alayý vatan haini soysuz köpekler .
Negative;@adonis36084897 : çok aþýrý genelleme yapmýþsýnýz . aklý baþýnda hiç bir toplum soylu'ya tapacak kadar soysuz olamaz . zaten ona yapanlarýn da bu ülkeye faydasý olmayan hýrsýzlar , gaspçýlar topluluðu .
Negative;@nickimkaybolmuþ : asi biri olmakla kuduruk bir haksýz olma arasýnda çok ince bir çizgi vardýr . iþinize bakmanýz gerekiyor yani . o kokuþmuþ cehaletinizin üstünü örtmek için sergilediðiniz altyapýsý olmayan bu soysuz aþý tavýrlar sizi iyice kale alýnmayacak birine dönüþtürüyor . gencliðinize yazýk .
Negative;@yangaz06 : allah seni ýslah etsin soysuz .
Negative;@ermxy : reis hemen bir telegram þikayet hattý kursun . dayak timi oluþturulsun . memlekette dövülecek çok piç var . reis yap þu iþi memleket soysuz sopsuz doldu .
Negative;@rohatwelat3 : kdpnin bu bölgeye güç yýðmasý , soysuz süleymanýn kürtlere karþý geliþtirmek istediði “ lime lime edin ” barbar saldýrýsýna katký anlamýna gelmektedir . kdp , türk devletinin kürtlere yönelik soykýrým saldýrýlarýnda kolaylaþtýrýcý rolünden derhal vazgeçmeli vekürdistaný tavýr almalýdýr .
Neutral;@raddicalist : hayatlarý yalan üzerine kurulu bu soysuz mahluklarýn sonunu bize izletmeden ölmeyi nasip etme allahým .
Negative;@chetetragram : soyunu þaklayana bazý soysuz deriz .
Negative;@swnaçl : suriye'nin eski fotolarýný görünce içim gidiyor koskoca bir tarihi mahvetti soysuz köpekler .
Negative;@gülsünrt07 : sen bu devletin demir yumruðusun . bunca soysuz varken , nereye .
Negative;@altuðgültekin : türkiyede olsan ülkücülerin adýný aðzýna alabilir miydi acaba . ama fazla þansýný zorlama soysuz köpek . fare deliðine de girsen hesabýn kesilir ! .
Negative;@leyya0606 : bir soyluya bin soysuz feda olsun .
Negative;@öyküoviç : abi düþünmeyi bile düþünemezsin , kýzý erkeði bile kalmadý bunun bunlar öyle soysuz köpekler .
Negative;@serkanblkn : kansýz soysuz köpekleri hadým etmek bile hafif kalýr .
Negative;@yavuztellioðlu : sosyal medyadaki soysuz kriptolara gereken cevaplarý veren ve bu nedenle hesabý kapatýlan mhp esenler ilçe baþkanýmýzýn yeni hesabýný lütfen takip edin .
Negative;@ersande71279944 : allahým birbirine düþürerek , kin duyduklarý insanlarýn , ayýnda boðulmayý bu soysuz , lut kavmine nasip et .
Negative;@ihsanergün6 : soysuz babandýr terbiyesiz sülalen erbakaný benim kadar tanýyamaz bazý partilere oy veriyoruz tayyiperdoðan dahil kimseyi vazgeçilmez gören alçak ve þerefsizdir eskiden atatürk hakkýnda milli görüþün bize ne dediðini biliyoruz þimdi anýtkabiri kýbleye çevirdiniz .
Negative;@merveakkoç : dün soylu için sokaða dökülenler bugün bu karara ses çýkarmýyor biz dün istifaya ses çýkarmadýk soysuz ilan edildik .
Negative;"@aslanshnç : sayýn cüneyt arkýn gibi söyleyeyim "" geber soysuz köpek "" ."
Positive;@erdem_öztürk55 : soysuzluk insana sonradan sirayet etmez nesilden nesile devam eder bir soysuzun 7 göbek nealý soysuzdur aksi olmaz . insan sonradan soysuz olmaz sosuz doðar .
Negative;@tanrboby : hani diyordunuz ya soysuz soylu soylu yine hýrlayýnýz lan allahsýzlar .
Negative;@ego10738614 : senin gibi vatansýzlarýnda dedelerini denize attý demeyi unutmuþ soysuz .
Negative;@ynsemc : babasýný bile tanýmayan soysuz bir baþkasýný hangi akýlla savunur .
Negative;@silelikartal : sen günah nedir biliyor muydun vatansýz vatan haini soysuz .
Negative;@ecekiçoðlu : teröristlere af çýkmadý diye kudurdular . meclisten geçen maddelere bir bakýn önce soysuz köpekler .
Negative;@kerimataþever3 : soysuz kendi iradesiyle bile istifa edemedi ! .
Negative;@1907çubuklufb : kalan ömür nasýl geçecek bu þerefsiz düzenle , ben yurt dýþýnda olmama raðmen ciðerim yanýyor , caným ülkemiz ne hale getirildi soysuz ýmansýzlarca üstadým .
Negative;@01_türkiyem : ülkede o kadar soysuz varken süleyman soylu istifa edemez .
Negative;@çeþmecia : islam düþmaný þerefsiz putinin iti havlýyor çeçenistaný satan soysuz köpek .
Negative;@gkthescorpion : o elmaslar bir tarafýnýza girsin soysuz çekikler .
Negative;@poyrazzzzz48 : sizin sadece kurtarmaya çalýþtýðýnýz sizden olan sizin kaleminizi tutan gazeteciler þerefsizler onun için bu yalan iftira soysuz köpekler ülen varya bu milletin aklýyla alay ediyorsunuz .
Negative;@puzzgel : ceddini inkar eden soysuz köpektir ! .
Negative;@kemaltr13 : ben hisseler geçti sen be tüh kalýbýna þerefsiz hep 3-5 peþinde it soysuz .
Negative;@ekrem02286581 : sen nasýl kurtaracaksýn soysuz köpek .
Negative;@mustafaeminayd4 : sayýn özýþýk kendini üzme bizim kimin neyin yol arkadaþý yandaþý olduðumuz bellidir . biz vatanýn milletin bayraðýn imanýn ve bunlara hizmet edenlerin yandaþý kardeþiyiz . bu konuþanlar kimin neyin yandaþý olduðunuza cümle alem biliyor soysuz soytarýlar .
Negative;@harunakdenizz : bu soysuz hakkýnda derhal iþlem yapýlmalý .
Negative;@zeynep363030785 : allah bizim belamýzý veriyor bu soysuz rezillere ses çýkarmadýðýmýz için .
Negative;@emre1907tass : allah hepinizin belasýný versin soysuz köpekler umarým bu yasa sizin sonunuz olur bir masumun gözyaþýnda boðulsanýza .
Negative;@boraseyhan6 : enayi miyiz biz soysuz ? .
Negative;@dassafedbyt : soysuz it yalan atma burada .
Negative;@akavantee : hala bu soysuz köpekleri savunan insanlarýn onlardan hiç bir farký yoktur vicdanlarý þerefleri yoktur .
Negative;@cemocns : bu yemek sipariþ ediyordur suriyeli lokanticalardan .
Neutral;@hylt_adm : suriyeli olsak almýþtýk .
Negative;@mirveçakýr : caným suriyeli komþumuz az önce evine internet baðlattý lükse bakar mýsýn sinirden duvarlarý yumrukluysam .
Neutral;@avcieerkan : eleman suriyeli .
Negative;@önürmav1 : tam zenci kanat forvet tipi var .
Negative;@beydadallll : bir gün ölürsem tek vasiyetim tabutumu o zenci kardeþlerimiz ayný þekilde dans ederek taþýsýn .
Negative;@bsknt_krtl : bu zenci dayýlar bela oldu valla baþýmýza .
Neutral;@eðtazzi : çocuklar zenci ise kýsýrlýk teferruat ? .
Negative;"@pekihsan : izmirli zenci bir çocuðu sanki köpek çaðýrýr gibi "" lan arap "" diye çaðýran uzman çavuþ vardý . belli ki zoruna gidiyordu ama iyi bir insan olduðu için bunu yansýtmýyordu . uzmanlardan biri de bana gelip "" sende tam okumuþ deli tipi var lan "" demiþti ."
Negative;@halilufak : dünya da çok sorun var zenci o yüzden kimse senin acýný hissetmez .
Negative;@unicorn_yelesi3 : sakýn küfretme zenci .
Neutral;@dieanottherrday : bide solaryumdan dönüþte yapýn þeftali gibi zenci çýksýn ortaya .
Negative;@antirte10 : amerikada ölenlerin çoðu zencidir ! coronavirüs newyorkta yayýldý ! Trump'un umurunda bile deðil ! neden ? çünkü trump zenci deðil ! .
Positive;@banadoðuderler : Grek frak ... atalarýný sevmem ama bu zenci bir harika .
Negative;@lyrica_weed : lanet zenci sen bu iþi biliyorsun .
Negative;@alialý93195015 : beyaz zenci var uyar mý .
Positive;@lyrica_weed : Adami'cim beyaz zenci sen mükemmel bir çay gönderiyorum adresini minik parmaklarýnla posta kutuma gönder .
Neutral;@beyzz_k : þu tabutçu zenci herifler çýktýðýndan beri dünya gün yüzü görmedi deccal mýsýn kardeþim nesiniz .
Negative;@mmeleeek : ne güzel ismi varmýþ onun ya gencmiþ de parasý da iyi keþke alsak bizim scout ekipleri bence netflix izliyor net . . caner daha iyisini buluruz be onun kendi kalsýn da gibisi baya iþ yapar ha bizde zenci olsa 10/10 .
Neutral;@saraaaaasoy : zenci iyi misin kardeþim ? .
Negative;@ahmetaha08 : allah affetsin bu aralar tabut taþýyan zenci abilere taktým eþi akým ? .
Positive;@aydemine : dans eden zenci amcalarý görüyorum .
Negative;@leylamillibeka : abdde virüsten ölenlerin yüzde 70 ten fazlasýnýn zenci olmasý , saðlýkta ýrka göre hizmet anlayýþýný gündeme getirdi .
Negative;@buckets_21 : iþte biz angaralýlar boyleyiz anladýn mý lanet olasý zenci gardasss .
Neutral;@engincanmeral1 : ahlak bekçiliði yapanlarýn hepsi en ahlaksýz olanlardýr .
Neutral;@baynikilsin : kes lan katarlý pezevenk vatan millet düþmaný ahlaksýz trol .
Negative;@a604725 : ulan mal hastane yapmak belediyenin iþi mi . salgýnýn yayýlýp saðlýk sisteminin çökmesine karþý alýnan bir önlem bunu anlamayacak kadar gerizekalýmýzýn yoksa anlayýp ta yine bunlarý yazacak kadar vicdaný ' ni satmýþ bir ahlaksýz mý .
Negative;@seesaw_w : jimin'in týrnaðý olamayacak kadar aþaðýlýðasýnýz . siz cidden akýllanmaz birer ahlaksýz insanlarsýnýz .
Neutral;@ulanpelin : ahlak bekçiliði yapanlarýn hepsi en ahlaksýz olanlardýr .
Negative;@sensizimyiðit : burasý türkiye hollanda deðil paralýda olsa böyle ahlaksýz sersfsz namussuz filmler olmaz olamaz .
Negative;@kaml1973 : sn aymbaþkanlýðý bu ahlaksýz f. tezcan denen kiþi nerden cesaret alýyor da bu kadar ortalýklarda dolaþýp önüne gelene hakaret ve küfür ediyor çözemedim ? size havale ediyoruz lütfen gereðini yapýn .
Neutral;@barls12 : yarýn öbür gün Ýdlib'ce ( allah muhafaza ) kadýnlar þebbihalara esir düþtüðünde yine cariye mi diyeceksin ? günler dönüþümlüdür ahlaksýz peþtun , yarýn taliban da kan kusar , esir düþer . o zaman da karýlarý ' cariye ' oldu dersin . senin o pis aðzýna tüküreyim .
Negative;@tacetti92962666 : zafer bey þu ahlaksýz ve þerefsizin þerefsizi hain davutoðluna gerekli cevaplarý verin .
Negative;@sýradimustakim : temel karamollaoðlu veya herhangi bir muhalif bir açýklama yapýyor altýna yüzlerce ahlaksýz toplanýp hakaretler yaðdýrýyor . ne söylediðini dinlemiyorlar direk hakaret ediyorlar . sonra bu virüs kalksýn diye minarelerden dua ettiriyorlar . daha baþýmýza taþ yaðacak .
Negative;@süleyman_bllky : yahu arkadaþ bir fikrini beyan ederken bile pornografik öðe kullanýyorsun sonra da kalkýp islamcýlar þöyle ahlaksýz böyle ahlaksýz diyorsun . sen hangi tornadan çýktýn .
Negative;@yaren72749334 : çüþ fâsit ahlaksýz ýrkçý .
Neutral;@minnteez : kime göre ahlaksýz neye göre ahlaksýz .
Neutral;@officaldestek : günaydýn ahlaksýz zihinlerini , kutsal cümlelerin arkasýna saklayan mundar insanlar .
Negative;@brahimbar16 : kardeþim bu a tvnin halk tv den farký ne . dizileri en ahlaksýz sahnelerle dolu , haberleri suyun akýþýna göre þekil .
Negative;@bahattinezber : sayýn baþkaným . senin onurlu duruþunu elini ovuþturup ranta çevirmeye çalýþan ahlaksýz güruh elbet bu aziz milletin gazabýna uðrayacak . selam ve dua ile allah a emanet olun .
Positive;@ra_innn : orospu . . uuu kocamý nasýl ayarttýn . ahlaksýz dahi . sene buralarda utanmadan konuþabiliyorsun onun bunun altýna yatan fahiþe .
Negative;@nacitaban : tipik bir trol olduðun her halinden belli , ahlaksýz , yalancý , yavþak itin teki þimdi kýçýna tekmeyi yiyorsun .
Negative;"@tospiqýrmak : þimdiye kadar kadýnlara , hayvanlara ( insanlara ) þiddete , haksýz yere suçlanýlanlara , ülkemizde ki haksýzlýklara , saygýsýzlýða müdahale etmeyip izleyenler ; konu bir insanýn cinsel yöneliminin farklý olmasýna gelince ahlak bekçisi kesiliyorlar . ahlaksýz olan sizsiniz ."
Neutral;"@yýldýrýmyasemin : bilim kuruluna yürüyorlar þimdi de . onun üzerinden saðlýk bakanýna . . bilim kurulunun günü geldiðinde iktidarý "" tehdit "" edebileceði . ne saklandýðýný düþünüyorlarsa artýk ! @drfahrettinkoca bu ahlaksýz çetenin defterini durun , yoksa onlar sizinkini dürecek ."
Negative;@aerol4242 : ahlaksýz siyasetin adresi chp baþka þeye gerek yok nokta .
